,Body (HTML),Variant Inventory Qty,Variant Grams,Image Src,Status,description,CategoryName,Variant Compare At Price,Variant Price,Option1 Value,Custom Product Type,First,Second,Third,Fourth,Fifth,Title,added_by,Vendor,Image Alt Text,SEO Title,SEO Description,Published,Variant Inventory Tracker,Tags,Standard Product Type,,Handle
Cute Rabbit Winter Warm Indoor Slippers (Random Colors),"<ul>
	<li>Cute Rabbit Warm Slippers for Indoor</li>
	<li>Suitable for all kinds of age groups</li>
	<li>Colors will be sent randomly</li>
	<li>Available colors Pink, Purple and Grey</li>
	<li>Extremely comfortable and made of good quality warm fabric</li>
	<li>Fleece inside</li>
	<li>Thick Sole for Durability</li>
</ul>",3,0.5,https://static-01.daraz.com.np/p/0d61819cebc3d6239bbf9e5a7966f2f6.jpg,active,,Fashion / Women / Shoes / Slides & Flip Flops / House Slippers,,575,Int: 37,Fashion ,Fashion , Women , Shoes , Slides & Flip Flops , House Slippers,Cute Rabbit Winter Warm Indoor Slippers (Random Colors),seller,A&A readymade,Cute Rabbit Winter Warm Indoor Slippers (Random Colors) price in Nepal,Cute Rabbit Winter Warm Indoor Slippers (Random Colors) price in Nepal,"<ul>
	<li>Cute Rabbit Warm Slippers for Indoor</li>
	<li>Suitable for all kinds of age groups</li>
	<li>Colors will be sent randomly</li>
	<li>Available colors Pink, Purple and Grey</li>
	<li>Extremely comfortable and made of good quality warm fabric</li>
	<li>Fleece inside</li>
	<li>Thick Sole for Durability</li>
</ul>",TRUE,shopify,"Fashion , Women , Shoes , Slides & Flip Flops , House Slippers",,49300,Cute Rabbit Winter Warm Indoor Slippers (Random Colors)49300
Cute Rabbit Winter Warm Indoor Slippers (Random Colors),"<ul>
	<li>Cute Rabbit Warm Slippers for Indoor</li>
	<li>Suitable for all kinds of age groups</li>
	<li>Colors will be sent randomly</li>
	<li>Available colors Pink, Purple and Grey</li>
	<li>Extremely comfortable and made of good quality warm fabric</li>
	<li>Fleece inside</li>
	<li>Thick Sole for Durability</li>
</ul>",3,0.5,https://static-01.daraz.com.np/p/89814dbd766f5e659e5d692c4f3b4cfd.jpg,active,,Fashion / Women / Shoes / Slides & Flip Flops / House Slippers,,575,Int:40,Fashion ,Fashion , Women , Shoes , Slides & Flip Flops , House Slippers,Cute Rabbit Winter Warm Indoor Slippers (Random Colors),seller,A&A readymade,Cute Rabbit Winter Warm Indoor Slippers (Random Colors) price in Nepal,Cute Rabbit Winter Warm Indoor Slippers (Random Colors) price in Nepal,"<ul>
	<li>Cute Rabbit Warm Slippers for Indoor</li>
	<li>Suitable for all kinds of age groups</li>
	<li>Colors will be sent randomly</li>
	<li>Available colors Pink, Purple and Grey</li>
	<li>Extremely comfortable and made of good quality warm fabric</li>
	<li>Fleece inside</li>
	<li>Thick Sole for Durability</li>
</ul>",TRUE,shopify,"Fashion , Women , Shoes , Slides & Flip Flops , House Slippers",,49301,Cute Rabbit Winter Warm Indoor Slippers (Random Colors)49301
Cute Rabbit Winter Warm Indoor Slippers (Random Colors),"<ul>
	<li>Cute Rabbit Warm Slippers for Indoor</li>
	<li>Suitable for all kinds of age groups</li>
	<li>Colors will be sent randomly</li>
	<li>Available colors Pink, Purple and Grey</li>
	<li>Extremely comfortable and made of good quality warm fabric</li>
	<li>Fleece inside</li>
	<li>Thick Sole for Durability</li>
</ul>",1,0.5,https://static-01.daraz.com.np/p/89814dbd766f5e659e5d692c4f3b4cfd.jpg,active,,Fashion / Women / Shoes / Slides & Flip Flops / House Slippers,,575,Int:39,Fashion ,Fashion , Women , Shoes , Slides & Flip Flops , House Slippers,Cute Rabbit Winter Warm Indoor Slippers (Random Colors),seller,A&A readymade,Cute Rabbit Winter Warm Indoor Slippers (Random Colors) price in Nepal,Cute Rabbit Winter Warm Indoor Slippers (Random Colors) price in Nepal,"<ul>
	<li>Cute Rabbit Warm Slippers for Indoor</li>
	<li>Suitable for all kinds of age groups</li>
	<li>Colors will be sent randomly</li>
	<li>Available colors Pink, Purple and Grey</li>
	<li>Extremely comfortable and made of good quality warm fabric</li>
	<li>Fleece inside</li>
	<li>Thick Sole for Durability</li>
</ul>",TRUE,shopify,"Fashion , Women , Shoes , Slides & Flip Flops , House Slippers",,49302,Cute Rabbit Winter Warm Indoor Slippers (Random Colors)49302
Cute Rabbit Winter Warm Indoor Slippers (Random Colors),"<ul>
	<li>Cute Rabbit Warm Slippers for Indoor</li>
	<li>Suitable for all kinds of age groups</li>
	<li>Colors will be sent randomly</li>
	<li>Available colors Pink, Purple and Grey</li>
	<li>Extremely comfortable and made of good quality warm fabric</li>
	<li>Fleece inside</li>
	<li>Thick Sole for Durability</li>
</ul>",30,0.5,https://static-01.daraz.com.np/p/0d61819cebc3d6239bbf9e5a7966f2f6.jpg,active,,Fashion / Women / Shoes / Slides & Flip Flops / House Slippers,,575,Int:38,Fashion ,Fashion , Women , Shoes , Slides & Flip Flops , House Slippers,Cute Rabbit Winter Warm Indoor Slippers (Random Colors),seller,A&A readymade,Cute Rabbit Winter Warm Indoor Slippers (Random Colors) price in Nepal,Cute Rabbit Winter Warm Indoor Slippers (Random Colors) price in Nepal,"<ul>
	<li>Cute Rabbit Warm Slippers for Indoor</li>
	<li>Suitable for all kinds of age groups</li>
	<li>Colors will be sent randomly</li>
	<li>Available colors Pink, Purple and Grey</li>
	<li>Extremely comfortable and made of good quality warm fabric</li>
	<li>Fleece inside</li>
	<li>Thick Sole for Durability</li>
</ul>",TRUE,shopify,"Fashion , Women , Shoes , Slides & Flip Flops , House Slippers",,49303,Cute Rabbit Winter Warm Indoor Slippers (Random Colors)49303
Woolen / Winter Shawls with Tassel Ends Size 215cm * 100cm Multicolor Shawls for Winter Woolen,"<ul>
	<li>Nepali Traditional Shawl/soft and comfortable to use</li>
	<li>Super soft cotton blend with no itchiness even on sensistive skin, and is really warm and windproof too.</li>
	<li>The shawls come in an endless array of beautiful designs, with some lovely traditional weaves that are timeless and stylish.</li>
	<li>Big enough to use as a blanket or shawl, but also comfortable to wear bunched around your neck&nbsp; as a super warm and snuggly scarf.</li>
	<li>Size: 215cm *&nbsp;100cm</li>
</ul>",30,0.5,https://static-01.daraz.com.np/p/b19750abc292c90ea1be6710ce367d63.jpg,active,,Fashion / Women / Clothing / Traditional Clothing / Dupattas & Ethnic Shawls,1250,740,other: 215,Fashion ,Fashion , Women , Clothing , Traditional Clothing , Dupattas & Ethnic Shawls,Woolen / Winter Shawls with Tassel Ends Size 215cm * 100cm Multicolor Shawls for Winter Woolen,seller,A&A readymade,Woolen / Winter Shawls with Tassel Ends Size 215cm * 100cm Multicolor Shawls for Winter Woolen price in Nepal,Woolen / Winter Shawls with Tassel Ends Size 215cm * 100cm Multicolor Shawls for Winter Woolen price in Nepal,"<ul>
	<li>Nepali Traditional Shawl/soft and comfortable to use</li>
	<li>Super soft cotton blend with no itchiness even on sensistive skin, and is really warm and windproof too.</li>
	<li>The shawls come in an endless array of beautiful designs, with some lovely traditional weaves that are timeless and stylish.</li>
	<li>Big enough to use as a blanket or shawl, but also comfortable to wear bunched around your neck&nbsp; as a super warm and snuggly scarf.</li>
	<li>Size: 215cm *&nbsp;100cm</li>
</ul>",TRUE,shopify,"Fashion , Women , Clothing , Traditional Clothing , Dupattas & Ethnic Shawls",,49304,Woolen / Winter Shawls with Tassel Ends Size 215cm * 100cm Multicolor Shawls for Winter Woolen49304
Sherpa Fleece Hoodie Unisex Made in Nepal,"<ul>
	<li>Extremely Warm material</li>
	<li>Has a front pocket</li>
	<li>Made in Nepal</li>
	<li>Comfortable fit</li>
	<li>Thick fleece perfect for winters</li>
	<li>Sizes available for plus size</li>
</ul>_<div></div>",10,0.5,https://static-01.daraz.com.np/p/e392a37a61c7ae339ff9330690ef3b75.jpg,active,<div></div>,Fashion / Unisex / Clothing / Hoodies & Sweatshirts,2400,1899,XL,Fashion ,Fashion , Unisex , Clothing , Hoodies & Sweatshirts,,Sherpa Fleece Hoodie Unisex Made in Nepal,seller,A&A readymade,Sherpa Fleece Hoodie Unisex Made in Nepal price in Nepal,Sherpa Fleece Hoodie Unisex Made in Nepal price in Nepal,"<ul>
	<li>Extremely Warm material</li>
	<li>Has a front pocket</li>
	<li>Made in Nepal</li>
	<li>Comfortable fit</li>
	<li>Thick fleece perfect for winters</li>
	<li>Sizes available for plus size</li>
</ul>",TRUE,shopify,"Fashion , Unisex , Clothing , Hoodies & Sweatshirts,",,49305,Sherpa Fleece Hoodie Unisex Made in Nepal49305
Sherpa Fleece Hoodie Unisex Made in Nepal,"<ul>
	<li>Extremely Warm material</li>
	<li>Has a front pocket</li>
	<li>Made in Nepal</li>
	<li>Comfortable fit</li>
	<li>Thick fleece perfect for winters</li>
	<li>Sizes available for plus size</li>
</ul>_<div></div>",10,0.5,https://static-01.daraz.com.np/p/e392a37a61c7ae339ff9330690ef3b75.jpg,active,<div></div>,Fashion / Unisex / Clothing / Hoodies & Sweatshirts,2400,1899,L,Fashion ,Fashion , Unisex , Clothing , Hoodies & Sweatshirts,,Sherpa Fleece Hoodie Unisex Made in Nepal,seller,A&A readymade,Sherpa Fleece Hoodie Unisex Made in Nepal price in Nepal,Sherpa Fleece Hoodie Unisex Made in Nepal price in Nepal,"<ul>
	<li>Extremely Warm material</li>
	<li>Has a front pocket</li>
	<li>Made in Nepal</li>
	<li>Comfortable fit</li>
	<li>Thick fleece perfect for winters</li>
	<li>Sizes available for plus size</li>
</ul>",TRUE,shopify,"Fashion , Unisex , Clothing , Hoodies & Sweatshirts,",,49306,Sherpa Fleece Hoodie Unisex Made in Nepal49306
Sherpa Fleece Hoodie Unisex Made in Nepal,"<ul>
	<li>Extremely Warm material</li>
	<li>Has a front pocket</li>
	<li>Made in Nepal</li>
	<li>Comfortable fit</li>
	<li>Thick fleece perfect for winters</li>
	<li>Sizes available for plus size</li>
</ul>_<div></div>",10,0.5,https://static-01.daraz.com.np/p/e392a37a61c7ae339ff9330690ef3b75.jpg,active,<div></div>,Fashion / Unisex / Clothing / Hoodies & Sweatshirts,2400,1899,M,Fashion ,Fashion , Unisex , Clothing , Hoodies & Sweatshirts,,Sherpa Fleece Hoodie Unisex Made in Nepal,seller,A&A readymade,Sherpa Fleece Hoodie Unisex Made in Nepal price in Nepal,Sherpa Fleece Hoodie Unisex Made in Nepal price in Nepal,"<ul>
	<li>Extremely Warm material</li>
	<li>Has a front pocket</li>
	<li>Made in Nepal</li>
	<li>Comfortable fit</li>
	<li>Thick fleece perfect for winters</li>
	<li>Sizes available for plus size</li>
</ul>",TRUE,shopify,"Fashion , Unisex , Clothing , Hoodies & Sweatshirts,",,49307,Sherpa Fleece Hoodie Unisex Made in Nepal49307
Thermal Sets for Ladies/ Body Shape Coverage Inner Thermal Set for Women,"<ul>
	<li>Sexy Seamless Homewear Design Keeps Your Body Warm &amp; Make You Look Ultra Gorgeous</li>
	<li>Material:Cotton+Polyester</li>
	<li>Body Con</li>
	<li>Long Sleeve</li>
	<li>Slim Cut And Close-Fitting Crafts Show Off Your Sexy Curves</li>
	<li>Soft, Comfortable And Skin firendly material</li>
	<li>Package Included:1 Pyjama Sets (1 Top + 1 Pants)</li>
</ul>_<div></div>",47,0.2,https://static-01.daraz.com.np/p/34db027c47aba8b62319b0df2104e7db.jpg,active,<div></div>,"Fashion / Women / Lingerie, Sleep & Lounge / Thermal",1500,950,free size,Fashion ,Fashion , Women ," Lingerie, Sleep & Lounge ", Thermal,,Thermal Sets for Ladies/ Body Shape Coverage Inner Thermal Set for Women,seller,A&A readymade,Thermal Sets for Ladies/ Body Shape Coverage Inner Thermal Set for Women price in Nepal,Thermal Sets for Ladies/ Body Shape Coverage Inner Thermal Set for Women price in Nepal,"<ul>
	<li>Sexy Seamless Homewear Design Keeps Your Body Warm &amp; Make You Look Ultra Gorgeous</li>
	<li>Material:Cotton+Polyester</li>
	<li>Body Con</li>
	<li>Long Sleeve</li>
	<li>Slim Cut And Close-Fitting Crafts Show Off Your Sexy Curves</li>
	<li>Soft, Comfortable And Skin firendly material</li>
	<li>Package Included:1 Pyjama Sets (1 Top + 1 Pants)</li>
</ul>",TRUE,shopify,"Fashion , Women , Lingerie, Sleep & Lounge , Thermal,",,49308,Thermal Sets for Ladies/ Body Shape Coverage Inner Thermal Set for Women49308
Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>_<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",15,0.2,https://static-01.daraz.com.np/p/65913dc5e3edc1aa0eefff0356dfdc30.png,active,"<div style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/8fe297ccae055dfe09b4a94e2bc2c4a6.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/65913dc5e3edc1aa0eefff0356dfdc30.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/1a5c44e52e701254d89a8079ce98fd7a.png"" style=""width: 100.0%;display: block;""/></div><div style=""width: 100.0%;""><img src=""https://sg-live-01.slatic.net/p/71d9ecad7a4836a781387ec7480acf9a.png"" style=""width: 100.0%;display: block;""/></div></div>",Fashion / Men / Clothing / Jackets & Coats / Lightweight Jackets,1500,999,L,Fashion ,Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood,seller,A&A readymade,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood price in Nepal,"<ul>
	<li>Extremely lightweight and soft</li>
	<li>Comes with a handy pouch</li>
	<li>Perfect for travellers during the summer</li>
	<li>100% nylon</li>
</ul>",TRUE,shopify,"Fashion , Men , Clothing , Jackets & Coats , Lightweight Jackets",,49309,Ultrathin Men Handy Pouch Foldable Windproof Travel Summer Jacket with Hood49309
