,Body (HTML),Variant Inventory Qty,Variant Grams,Image Src,Status,description,CategoryName,Variant Compare At Price,Variant Price,Custom Product Type,First,Second,Third,Fourth,Title,added_by,Vendor,Image Alt Text,SEO Title,SEO Description,Published,Variant Inventory Tracker,Tags,Standard Product Type,,Handle
4 Step Metal Frame Shoes Rack/ Cabinet/ Shelf with Iron Layers for Durability COMES IN RANDOM COLORS,"<ul>
	<li>Foldable shoes rack, easy assembling, requires no tool</li>
	<li>Washable non-woven cover, dust resistent</li>
	<li>Metallic layers that ensures more durability (iron)</li>
	<li>4 steps: Each can&nbsp;store up to 3 pairs of shoes</li>
	<li>Zippers for more dust and moist protection</li>
	<li>&nbsp;COMES IN RANDOM COLORS</li>
</ul>_<div></div>",50,1.5,https://static-01.daraz.com.np/p/c29261d14fd809eb297309e8bf982f2a.png,active,<div></div>,Furniture & Décor / Storage & Organisation / Shoe Organisers,1899,1399,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,4 Step Metal Frame Shoes Rack/ Cabinet/ Shelf with Iron Layers for Durability COMES IN RANDOM COLORS,seller,A&A readymade,4 Step Metal Frame Shoes Rack/ Cabinet/ Shelf with Iron Layers for Durability COMES IN RANDOM COLORS price in Nepal,4 Step Metal Frame Shoes Rack/ Cabinet/ Shelf with Iron Layers for Durability COMES IN RANDOM COLORS price in Nepal,"<ul>
	<li>Foldable shoes rack, easy assembling, requires no tool</li>
	<li>Washable non-woven cover, dust resistent</li>
	<li>Metallic layers that ensures more durability (iron)</li>
	<li>4 steps: Each can&nbsp;store up to 3 pairs of shoes</li>
	<li>Zippers for more dust and moist protection</li>
	<li>&nbsp;COMES IN RANDOM COLORS</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49173,4 Step Metal Frame Shoes Rack/ Cabinet/ Shelf with Iron Layers for Durability COMES IN RANDOM COLORS49173
9-Layers Shoe Rack Dust-Proof with Non woven zippered Cover Model TK-900,"<ul>
	<li>Dustproof cover</li>
	<li>Roll up cover can be held onto place</li>
	<li>Stong Iron Pipes with PP connectors</li>
	<li>Waterproof Layers</li>
	<li>Each layer can fit 3pairs each</li>
	<li>Self Assembly required</li>
</ul>_<img style=""visibility: hidden;display: none;height: 0;"" src=""$$advanced_editor$$""/>",300,1,https://static-01.daraz.com.np/p/d02bcc82e8737e111e5e20382d4526db.png,active,"<img style=""visibility: hidden;display: none;height: 0;"" src=""$$advanced_editor$$""/>",Furniture & Décor / Storage & Organisation / Shoe Organisers,2100,1699,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,9-Layers Shoe Rack Dust-Proof with Non woven zippered Cover Model TK-900,seller,A&A readymade,9-Layers Shoe Rack Dust-Proof with Non woven zippered Cover Model TK-900 price in Nepal,9-Layers Shoe Rack Dust-Proof with Non woven zippered Cover Model TK-900 price in Nepal,"<ul>
	<li>Dustproof cover</li>
	<li>Roll up cover can be held onto place</li>
	<li>Stong Iron Pipes with PP connectors</li>
	<li>Waterproof Layers</li>
	<li>Each layer can fit 3pairs each</li>
	<li>Self Assembly required</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49174,9-Layers Shoe Rack Dust-Proof with Non woven zippered Cover Model TK-90049174
7 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover,"<ul>
	<li>QUICK AND EASY ASSEMBLY - No tools are required. You can remove your shoe rack organizer from the box it ships in and have it assembled in under 15 minutes.</li>
	<li>ADJUSTABLE HEIGHT - You can remove a layer to fit not only boots, high heels, but also fit purses or other larger accessories. Shoe rack with lateral ties keeps your shoes away from dust.</li>
	<li>7 Steps :&nbsp; each can fit in 3 pairs of shoes</li>
</ul>_<div></div>",49,1,https://static-01.daraz.com.np/p/9018f6a711f992fbc819760c7a574eb7.png,active,<div></div>,Furniture & Décor / Storage & Organisation / Shoe Organisers,1899,1550,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,7 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover,seller,A&A readymade,7 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover price in Nepal,7 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover price in Nepal,"<ul>
	<li>QUICK AND EASY ASSEMBLY - No tools are required. You can remove your shoe rack organizer from the box it ships in and have it assembled in under 15 minutes.</li>
	<li>ADJUSTABLE HEIGHT - You can remove a layer to fit not only boots, high heels, but also fit purses or other larger accessories. Shoe rack with lateral ties keeps your shoes away from dust.</li>
	<li>7 Steps :&nbsp; each can fit in 3 pairs of shoes</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49175,7 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover49175
Cute 4 Layers Shoe Rack/ Multipurpose 4-tier Shelf Waterproof Fabric Layers in Cute Patterns,"<ul>
	<li>High Quality PP plastic step connectors with stainless steel for strong support and oxford cloth as layers</li>
	<li>Removable parts to fit in High boots, bags, etc</li>
	<li>Waterproof and dustproof material</li>
	<li>Easy maintenance and construction</li>
	<li>Attractive colors and patterns</li>
	<li>Perfect for any room to organize your shoes, accessories, bags, etc</li>
	<li>Will come in random sorted color (pink, blue, green) as shown in the pictures</li>
	<li>Size: 47*22*55cm</li>
</ul>_<p style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span></p><div style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;""><img src=""https://my-live-01.slatic.net/p/0fdea877a5614f7d87fa96758ee73bba.jpg"" style=""width: 100.0%;display: block;""/></div></div></div></div></div></div><div style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;""><img src=""https://my-live-01.slatic.net/p/6b4be8b67878e68425c8a0c17502dc81.jpg"" style=""width: 100.0%;display: block;""/></div></div></div></div></div></div><div style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;""><img src=""https://my-live-01.slatic.net/p/d9be325aff0647bf35148f90a562c5be.jpg"" style=""width: 100.0%;display: block;""/></div></div></div></div></div></div><div style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;""><img src=""https://my-live-01.slatic.net/p/071f4a21f6b503e0405bf76a66095331.jpg"" style=""width: 100.0%;display: block;""/></div></div></div></div></div></div><div style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;""><img src=""https://my-live-01.slatic.net/p/af291751432394ff76cee7ad48e82462.jpg"" style=""width: 100.0%;display: block;""/></div></div></div></div></div></div><p style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span></p>",148,1,https://static-01.daraz.com.np/p/fde1bb079b7d51e666a19948b6652419.jpg,active,"<p style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span></p><div style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;""><img src=""https://my-live-01.slatic.net/p/0fdea877a5614f7d87fa96758ee73bba.jpg"" style=""width: 100.0%;display: block;""/></div></div></div></div></div></div><div style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;""><img src=""https://my-live-01.slatic.net/p/6b4be8b67878e68425c8a0c17502dc81.jpg"" style=""width: 100.0%;display: block;""/></div></div></div></div></div></div><div style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;""><img src=""https://my-live-01.slatic.net/p/d9be325aff0647bf35148f90a562c5be.jpg"" style=""width: 100.0%;display: block;""/></div></div></div></div></div></div><div style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;""><img src=""https://my-live-01.slatic.net/p/071f4a21f6b503e0405bf76a66095331.jpg"" style=""width: 100.0%;display: block;""/></div></div></div></div></div></div><div style=""width: 100.0%;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><div style=""width: 100.0%;display: block;""><img src=""https://my-live-01.slatic.net/p/af291751432394ff76cee7ad48e82462.jpg"" style=""width: 100.0%;display: block;""/></div></div></div></div></div></div><p style=""margin: 0;padding: 8.0px 0;white-space: pre-wrap;""><span></span></p>",Furniture & Décor / Storage & Organisation / Shoe Organisers,800,599,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Cute 4 Layers Shoe Rack/ Multipurpose 4-tier Shelf Waterproof Fabric Layers in Cute Patterns,seller,A&A readymade,Cute 4 Layers Shoe Rack/ Multipurpose 4-tier Shelf Waterproof Fabric Layers in Cute Patterns price in Nepal,Cute 4 Layers Shoe Rack/ Multipurpose 4-tier Shelf Waterproof Fabric Layers in Cute Patterns price in Nepal,"<ul>
	<li>High Quality PP plastic step connectors with stainless steel for strong support and oxford cloth as layers</li>
	<li>Removable parts to fit in High boots, bags, etc</li>
	<li>Waterproof and dustproof material</li>
	<li>Easy maintenance and construction</li>
	<li>Attractive colors and patterns</li>
	<li>Perfect for any room to organize your shoes, accessories, bags, etc</li>
	<li>Will come in random sorted color (pink, blue, green) as shown in the pictures</li>
	<li>Size: 47*22*55cm</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49176,Cute 4 Layers Shoe Rack/ Multipurpose 4-tier Shelf Waterproof Fabric Layers in Cute Patterns49176
6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer,"<p>◽Durable and attractive plastic panels<br />
◽Easy assembling and dissembling<br />
◽Designs can be personalized<br />
◽Flip covers for dust protection (transparent cover for black, full baby pink cover for pink)<br />
◽ Easy maintenance<br />
◽Stylish and spacious storage containers for your room<br />
◽Panels made of PP sheets, easy to wipe dirt off<br />
◽Perfect for organizing shoes, clothes, accessories, toys, books, and much more</p>

<p>◽ One Panel can be removed to fit in high boots</p>

<p>Size:&nbsp;32inch*13*37</p>",4,3,https://static-01.daraz.com.np/p/a989312645678bf82bfbb8f25504c195.jpg,inactive,,Furniture & Décor / Storage & Organisation / Shoe Organisers,3600,3350,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer,seller,A&A readymade,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer price in Nepal,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer price in Nepal,"<p>◽Durable and attractive plastic panels<br />
◽Easy assembling and dissembling<br />
◽Designs can be personalized<br />
◽Flip covers for dust protection (transparent cover for black, full baby pink cover for pink)<br />
◽ Easy maintenance<br />
◽Stylish and spacious storage containers for your room<br />
◽Panels made of PP sheets, easy to wipe dirt off<br />
◽Perfect for organizing shoes, clothes, accessories, toys, books, and much more</p>

<p>◽ One Panel can be removed to fit in high boots</p>

<p>Size:&nbsp;32inch*13*37</p>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49177,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer49177
6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer,"<p>◽Durable and attractive plastic panels<br />
◽Easy assembling and dissembling<br />
◽Designs can be personalized<br />
◽Flip covers for dust protection (transparent cover for black, full baby pink cover for pink)<br />
◽ Easy maintenance<br />
◽Stylish and spacious storage containers for your room<br />
◽Panels made of PP sheets, easy to wipe dirt off<br />
◽Perfect for organizing shoes, clothes, accessories, toys, books, and much more</p>

<p>◽ One Panel can be removed to fit in high boots</p>

<p>Size:&nbsp;32inch*13*37</p>",2,3,https://static-01.daraz.com.np/p/545c3347902bbe11fc7ffce8b403382e.jpg,inactive,,Furniture & Décor / Storage & Organisation / Shoe Organisers,3600,3350,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer,seller,A&A readymade,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer price in Nepal,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer price in Nepal,"<p>◽Durable and attractive plastic panels<br />
◽Easy assembling and dissembling<br />
◽Designs can be personalized<br />
◽Flip covers for dust protection (transparent cover for black, full baby pink cover for pink)<br />
◽ Easy maintenance<br />
◽Stylish and spacious storage containers for your room<br />
◽Panels made of PP sheets, easy to wipe dirt off<br />
◽Perfect for organizing shoes, clothes, accessories, toys, books, and much more</p>

<p>◽ One Panel can be removed to fit in high boots</p>

<p>Size:&nbsp;32inch*13*37</p>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49178,6 Cube Modular Shoe Cabinet / Foldable Multifunctional Organizer49178
Folding Wardrobe,"<ul>
	<li>Folding portable wardrobe</li>
	<li>clothes hanging</li>
	<li>washable cover</li>
	<li>can be easily dismantled</li>
	<li></li>
	<li></li>
</ul>",50,2,https://static-01.daraz.com.np/p/07126ddcfe5ac36bcaa8e3c62a397c43.jpg,inactive,,Furniture & Décor / Storage & Organisation / Shoe Organisers,,2200,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,Folding Wardrobe,seller,A&A readymade,Folding Wardrobe price in Nepal,Folding Wardrobe price in Nepal,"<ul>
	<li>Folding portable wardrobe</li>
	<li>clothes hanging</li>
	<li>washable cover</li>
	<li>can be easily dismantled</li>
	<li></li>
	<li></li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49179,Folding Wardrobe49179
6 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover,"<ul>
	<li>QUICK AND EASY ASSEMBLY - No tools are required. You can remove your shoe rack organizer from the box it ships in and have it assembled in under 15 minutes.</li>
	<li>ADJUSTABLE HEIGHT - You can remove a layer to fit not only boots, high heels, but also fit purses or other larger accessories. Shoe rack with lateral ties keeps your shoes away from dust.</li>
	<li>6 Steps :&nbsp; each can fit in 3 pairs of shoes</li>
</ul>_<div></div>",9,1,https://static-01.daraz.com.np/p/058740c12655d0b8de276f17f6470ff6.png,active,<div></div>,Furniture & Décor / Storage & Organisation / Shoe Organisers,1600,1450,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,6 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover,seller,A&A readymade,6 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover price in Nepal,6 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover price in Nepal,"<ul>
	<li>QUICK AND EASY ASSEMBLY - No tools are required. You can remove your shoe rack organizer from the box it ships in and have it assembled in under 15 minutes.</li>
	<li>ADJUSTABLE HEIGHT - You can remove a layer to fit not only boots, high heels, but also fit purses or other larger accessories. Shoe rack with lateral ties keeps your shoes away from dust.</li>
	<li>6 Steps :&nbsp; each can fit in 3 pairs of shoes</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49180,6 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover49180
4 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover,"<ul>
	<li>Easy to build, requires no tool</li>
	<li>Washable cover with zippers to ensure dust protection</li>
	<li>4 step, each can store 3 pairs of shoes each</li>
	<li>Can&nbsp;store 12 pairs in total</li>
	<li>Comes in random colors</li>
</ul>_<div></div>",197,1,https://static-01.daraz.com.np/p/11c812f3027b7718fcc718bb9fed7d41.png,active,<div></div>,Furniture & Décor / Storage & Organisation / Shoe Organisers,1400,1250,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,4 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover,seller,A&A readymade,4 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover price in Nepal,4 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover price in Nepal,"<ul>
	<li>Easy to build, requires no tool</li>
	<li>Washable cover with zippers to ensure dust protection</li>
	<li>4 step, each can store 3 pairs of shoes each</li>
	<li>Can&nbsp;store 12 pairs in total</li>
	<li>Comes in random colors</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49181,4 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover49181
9 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover,"<ul>
	<li>9 Layer shoes rack</li>
	<li>Can store 27 pairs of shoes</li>
	<li>Printed out covers in random patterns</li>
	<li>Water resistent&nbsp;</li>
	<li>Wipe to clean</li>
	<li>Easy self installation</li>
</ul>_<div></div>",197,1,https://static-01.daraz.com.np/p/e2022f152ce2eaa3c4e3b21f3c23f8c8.png,active,<div></div>,Furniture & Décor / Storage & Organisation / Shoe Organisers,2000,1750,Furniture & Décor ,Furniture & Décor , Storage & Organisation , Shoe Organisers,,9 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover,seller,A&A readymade,9 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover price in Nepal,9 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover price in Nepal,"<ul>
	<li>9 Layer shoes rack</li>
	<li>Can store 27 pairs of shoes</li>
	<li>Printed out covers in random patterns</li>
	<li>Water resistent&nbsp;</li>
	<li>Wipe to clean</li>
	<li>Easy self installation</li>
</ul>",TRUE,shopify,"Furniture & Décor , Storage & Organisation , Shoe Organisers,",,49182,9 Layers Foldable Shoe Cabinet Fabric Frame Rack with Water Repellent Cover49182
